qid,retriever,strategy,rewritten_query,gold_doc_id,retrieved_doc_ids,gold_rank,recall@1,recall@5,recall@10,mrr,reward,retrieval_success,rank_gain,length_penalty,semantic_drift_penalty,semantic_similarity
6548850-0-0,dense,prompt,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배,KQ_0000_0000,KQ_0000_0000 KQ_0072_0024 KQ_0104_0000 KQ_0054_0032 KQ_0087_0001 KQ_0025_0021 KQ_0064_0012 KQ_0125_0015 KQ_0054_0004 KQ_0016_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9427420496940613
6548850-0-0,hybrid,prompt,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배,KQ_0000_0000,KQ_0000_0000 KQ_0125_0015 KQ_0034_0007 KQ_0058_0004 KQ_0058_0008 KQ_0058_0009 KQ_0130_0010 KQ_0130_0007 KQ_0124_0025 KQ_0072_0001,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9427420496940613
6548850-0-0,bm25,structured,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배 날은,KQ_0000_0000,KQ_0000_0000 KQ_0058_0008 KQ_0058_0004 KQ_0130_0010 KQ_0125_0015 KQ_0034_0007 KQ_0130_0007 KQ_0084_0027 KQ_0120_0002 KQ_0058_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9633246660232544
6548850-0-0,dense,structured,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배 날은,KQ_0000_0000,KQ_0000_0000 KQ_0016_0000 KQ_0104_0000 KQ_0072_0024 KQ_0025_0016 KQ_0087_0001 KQ_0125_0015 KQ_0025_0021 KQ_0054_0028 KQ_0087_0002,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9633246660232544
6548850-0-0,hybrid,structured,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배 날은,KQ_0000_0000,KQ_0000_0000 KQ_0058_0008 KQ_0125_0015 KQ_0034_0007 KQ_0058_0004 KQ_0058_0009 KQ_0130_0007 KQ_0130_0010 KQ_0058_0013 KQ_0124_0025,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9633246660232544
6548850-0-1,bm25,original,1989년 6월 30일 평양축전에 대표로 파견 된 인물은?,KQ_0000_0000,KQ_0000_0000 KQ_0072_0000 KQ_0034_0007 KQ_0125_0022 KQ_0054_0024 KQ_0067_0001 KQ_0084_0005 KQ_0124_0080 KQ_0001_0003 KQ_0124_0058,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-1,dense,original,1989년 6월 30일 평양축전에 대표로 파견 된 인물은?,KQ_0000_0000,KQ_0000_0000 KQ_0125_0031 KQ_0034_0002 KQ_0048_0005 KQ_0064_0005 KQ_0054_0042 KQ_0054_0020 KQ_0125_0049 KQ_0067_0000 KQ_0006_0003,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-1,hybrid,original,1989년 6월 30일 평양축전에 대표로 파견 된 인물은?,KQ_0000_0000,KQ_0000_0000 KQ_0072_0000 KQ_0125_0022 KQ_0054_0042 KQ_0054_0020 KQ_0125_0010 KQ_0034_0007 KQ_0067_0001 KQ_0034_0002 KQ_0025_0006,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-1,bm25,keyword,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0000_0000 KQ_0034_0007 KQ_0054_0024 KQ_0133_0000 KQ_0072_0000 KQ_0054_0047 KQ_0105_0002 KQ_0072_0010 KQ_0121_0005 KQ_0059_0004,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9593081474304199
6548850-0-1,dense,keyword,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0034_0002 KQ_0000_0000 KQ_0064_0005 KQ_0125_0014 KQ_0054_0042 KQ_0054_0020 KQ_0125_0024 KQ_0125_0008 KQ_0048_0005 KQ_0125_0031,2,0.0,1.0,1.0,0.5,0.9444444444444444,1.0,-0.1111111111111111,0.0,0.0,0.9593081474304199
6548850-0-1,hybrid,keyword,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0000_0000 KQ_0034_0007 KQ_0054_0047 KQ_0072_0000 KQ_0054_0042 KQ_0054_0020 KQ_0037_0001 KQ_0133_0000 KQ_0125_0010 KQ_0072_0010,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9593081474304199
6548850-0-1,bm25,expanded,1989년 6월 30일 평양축전에 대표로 파견 된 인물은?,KQ_0000_0000,KQ_0000_0000 KQ_0072_0000 KQ_0034_0007 KQ_0125_0022 KQ_0054_0024 KQ_0067_0001 KQ_0084_0005 KQ_0124_0080 KQ_0001_0003 KQ_0124_0058,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-1,dense,expanded,1989년 6월 30일 평양축전에 대표로 파견 된 인물은?,KQ_0000_0000,KQ_0000_0000 KQ_0125_0031 KQ_0034_0002 KQ_0048_0005 KQ_0064_0005 KQ_0054_0042 KQ_0054_0020 KQ_0125_0049 KQ_0067_0000 KQ_0006_0003,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-1,hybrid,expanded,1989년 6월 30일 평양축전에 대표로 파견 된 인물은?,KQ_0000_0000,KQ_0000_0000 KQ_0072_0000 KQ_0125_0022 KQ_0054_0042 KQ_0054_0020 KQ_0125_0010 KQ_0034_0007 KQ_0067_0001 KQ_0034_0002 KQ_0025_0006,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-1,bm25,prompt,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0000_0000 KQ_0034_0007 KQ_0054_0024 KQ_0133_0000 KQ_0072_0000 KQ_0054_0047 KQ_0105_0002 KQ_0072_0010 KQ_0121_0005 KQ_0059_0004,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9593081474304199
6548850-0-1,dense,prompt,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0034_0002 KQ_0000_0000 KQ_0064_0005 KQ_0125_0014 KQ_0054_0042 KQ_0054_0020 KQ_0125_0024 KQ_0125_0008 KQ_0048_0005 KQ_0125_0031,2,0.0,1.0,1.0,0.5,0.9444444444444444,1.0,-0.1111111111111111,0.0,0.0,0.9593081474304199
6548850-0-1,hybrid,prompt,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0000_0000 KQ_0034_0007 KQ_0054_0047 KQ_0072_0000 KQ_0054_0042 KQ_0054_0020 KQ_0037_0001 KQ_0133_0000 KQ_0125_0010 KQ_0072_0010,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9593081474304199
6548850-0-1,bm25,structured,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0000_0000 KQ_0034_0007 KQ_0054_0024 KQ_0133_0000 KQ_0072_0000 KQ_0054_0047 KQ_0105_0002 KQ_0072_0010 KQ_0121_0005 KQ_0059_0004,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9593081474304199
6548850-0-1,dense,structured,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0034_0002 KQ_0000_0000 KQ_0064_0005 KQ_0125_0014 KQ_0054_0042 KQ_0054_0020 KQ_0125_0024 KQ_0125_0008 KQ_0048_0005 KQ_0125_0031,2,0.0,1.0,1.0,0.5,0.9444444444444444,1.0,-0.1111111111111111,0.0,0.0,0.9593081474304199
6548850-0-1,hybrid,structured,1989년 6월 30일 평양축전 대표 파견 인물,KQ_0000_0000,KQ_0000_0000 KQ_0034_0007 KQ_0054_0047 KQ_0072_0000 KQ_0054_0042 KQ_0054_0020 KQ_0037_0001 KQ_0133_0000 KQ_0125_0010 KQ_0072_0010,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9593081474304199
6548853-0-0,bm25,original,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배된 연도는?,KQ_0000_0000,KQ_0000_0000 KQ_0058_0009 KQ_0017_0010 KQ_0064_0001 KQ_0124_0063 KQ_0130_0010 KQ_0130_0007 KQ_0084_0027 KQ_0120_0002 KQ_0058_0010,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000001192092896
6548853-0-0,dense,original,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배된 연도는?,KQ_0000_0000,KQ_0000_0000 KQ_0016_0000 KQ_0125_0034 KQ_0072_0024 KQ_0087_0001 KQ_0054_0004 KQ_0087_0002 KQ_0104_0000 KQ_0087_0003 KQ_0125_0001,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000001192092896
6548853-0-0,hybrid,original,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배된 연도는?,KQ_0000_0000,KQ_0000_0000 KQ_0058_0009 KQ_0064_0001 KQ_0017_0010 KQ_0072_0024 KQ_0130_0007 KQ_0087_0003 KQ_0130_0010 KQ_0104_0000 KQ_0064_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000001192092896
6548853-0-0,bm25,keyword,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된 연도,KQ_0000_0000,KQ_0000_0000 KQ_0058_0004 KQ_0130_0010 KQ_0125_0015 KQ_0130_0007 KQ_0084_0027 KQ_0058_0008 KQ_0120_0002 KQ_0058_0009 KQ_0026_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9471091032028198
6548853-0-0,dense,keyword,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된 연도,KQ_0000_0000,KQ_0000_0000 KQ_0104_0000 KQ_0087_0001 KQ_0072_0024 KQ_0087_0002 KQ_0016_0000 KQ_0087_0003 KQ_0064_0012 KQ_0025_0021 KQ_0064_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9471091032028198
6548853-0-0,hybrid,keyword,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된 연도,KQ_0000_0000,KQ_0000_0000 KQ_0125_0015 KQ_0058_0004 KQ_0130_0010 KQ_0130_0007 KQ_0058_0009 KQ_0058_0008 KQ_0072_0001 KQ_0124_0025 KQ_0072_0012,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9471091032028198
6548853-0-0,bm25,expanded,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배된 연도는?,KQ_0000_0000,KQ_0000_0000 KQ_0058_0009 KQ_0017_0010 KQ_0064_0001 KQ_0124_0063 KQ_0130_0010 KQ_0130_0007 KQ_0084_0027 KQ_0120_0002 KQ_0058_0010,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000001192092896
6548853-0-0,dense,expanded,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배된 연도는?,KQ_0000_0000,KQ_0000_0000 KQ_0016_0000 KQ_0125_0034 KQ_0072_0024 KQ_0087_0001 KQ_0054_0004 KQ_0087_0002 KQ_0104_0000 KQ_0087_0003 KQ_0125_0001,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000001192092896
6548853-0-0,hybrid,expanded,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배된 연도는?,KQ_0000_0000,KQ_0000_0000 KQ_0058_0009 KQ_0064_0001 KQ_0017_0010 KQ_0072_0024 KQ_0130_0007 KQ_0087_0003 KQ_0130_0010 KQ_0104_0000 KQ_0064_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000001192092896
6548853-0-0,bm25,prompt,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된,KQ_0000_0000,KQ_0000_0000 KQ_0058_0004 KQ_0130_0010 KQ_0125_0015 KQ_0130_0007 KQ_0084_0027 KQ_0058_0008 KQ_0120_0002 KQ_0058_0009 KQ_0026_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.933242917060852
6548853-0-0,dense,prompt,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된,KQ_0000_0000,KQ_0000_0000 KQ_0104_0000 KQ_0072_0024 KQ_0064_0012 KQ_0087_0001 KQ_0054_0032 KQ_0125_0015 KQ_0125_0034 KQ_0064_0000 KQ_0025_0021,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.933242917060852
6548853-0-0,hybrid,prompt,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된,KQ_0000_0000,KQ_0000_0000 KQ_0125_0015 KQ_0058_0004 KQ_0058_0008 KQ_0058_0009 KQ_0130_0010 KQ_0130_0007 KQ_0124_0025 KQ_0072_0001 KQ_0072_0012,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.933242917060852
6548853-0-0,bm25,structured,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된 연도,KQ_0000_0000,KQ_0000_0000 KQ_0058_0004 KQ_0130_0010 KQ_0125_0015 KQ_0130_0007 KQ_0084_0027 KQ_0058_0008 KQ_0120_0002 KQ_0058_0009 KQ_0026_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9471091032028198
6548853-0-0,dense,structured,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된 연도,KQ_0000_0000,KQ_0000_0000 KQ_0104_0000 KQ_0087_0001 KQ_0072_0024 KQ_0087_0002 KQ_0016_0000 KQ_0087_0003 KQ_0064_0012 KQ_0025_0021 KQ_0064_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9471091032028198
6548853-0-0,hybrid,structured,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배된 연도,KQ_0000_0000,KQ_0000_0000 KQ_0125_0015 KQ_0058_0004 KQ_0130_0010 KQ_0130_0007 KQ_0058_0009 KQ_0058_0008 KQ_0072_0001 KQ_0124_0025 KQ_0072_0012,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9471091032028198
6548853-0-1,bm25,original,임종석을 검거한 장소는 경희대 내 어디인가?,KQ_0000_0000,KQ_0000_0000 KQ_0000_0001 KQ_0124_0034 KQ_0124_0053 KQ_0068_0006 KQ_0118_0003 KQ_0125_0012 KQ_0115_0002 KQ_0125_0019 KQ_0034_0010,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548853-0-1,dense,original,임종석을 검거한 장소는 경희대 내 어디인가?,KQ_0000_0000,KQ_0000_0000 KQ_0125_0024 KQ_0054_0037 KQ_0005_0000 KQ_0016_0000 KQ_0087_0002 KQ_0087_0003 KQ_0125_0001 KQ_0125_0015 KQ_0130_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548853-0-1,hybrid,original,임종석을 검거한 장소는 경희대 내 어디인가?,KQ_0000_0000,KQ_0000_0000 KQ_0000_0001 KQ_0124_0053 KQ_0124_0034 KQ_0125_0001 KQ_0124_0062 KQ_0075_0011 KQ_0068_0006 KQ_0118_0003 KQ_0115_0002,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548853-0-1,bm25,keyword,임종석 검거한 장소 경희대 어디인,KQ_0000_0000,KQ_0109_0000 KQ_0000_0001 KQ_0064_0012 KQ_0109_0001 KQ_0124_0053 KQ_0000_0000 KQ_0001_0000 KQ_0001_0001 KQ_0001_0002 KQ_0001_0003,6,0.0,0.0,1.0,0.16666666666666666,0.7222222222222222,1.0,-0.5555555555555556,0.0,0.0,0.9887781739234924
6548853-0-1,dense,keyword,임종석 검거한 장소 경희대 어디인,KQ_0000_0000,KQ_0000_0000 KQ_0125_0024 KQ_0054_0037 KQ_0016_0000 KQ_0087_0003 KQ_0005_0000 KQ_0087_0002 KQ_0125_0001 KQ_0005_0001 KQ_0130_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9887781739234924
6548853-0-1,hybrid,keyword,임종석 검거한 장소 경희대 어디인,KQ_0000_0000,KQ_0109_0000 KQ_0064_0012 KQ_0124_0053 KQ_0000_0001 KQ_0000_0000 KQ_0109_0001 KQ_0125_0024 KQ_0054_0037 KQ_0016_0000 KQ_0087_0003,5,0.0,1.0,1.0,0.2,0.7777777777777778,1.0,-0.4444444444444444,0.0,0.0,0.9887781739234924
6548853-0-1,bm25,expanded,임종석을 검거한 장소는 경희대 내 어디인가? 위치 지역 국가 도시 소재지,KQ_0000_0000,KQ_0000_0000 KQ_0000_0001 KQ_0124_0034 KQ_0124_0086 KQ_0054_0025 KQ_0124_0053 KQ_0100_0000 KQ_0056_0000 KQ_0109_0000 KQ_0068_0006,1,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,0.8333333333333334,0.0,0.9781032204627991
6548853-0-1,dense,expanded,임종석을 검거한 장소는 경희대 내 어디인가? 위치 지역 국가 도시 소재지,KQ_0000_0000,KQ_0000_0000 KQ_0125_0024 KQ_0054_0037 KQ_0054_0004 KQ_0125_0001 KQ_0016_0000 KQ_0087_0002 KQ_0005_0000 KQ_0125_0015 KQ_0087_0003,1,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,0.8333333333333334,0.0,0.9781032204627991
6548853-0-1,hybrid,expanded,임종석을 검거한 장소는 경희대 내 어디인가? 위치 지역 국가 도시 소재지,KQ_0000_0000,KQ_0000_0000 KQ_0000_0001 KQ_0124_0053 KQ_0124_0034 KQ_0053_0000 KQ_0124_0086 KQ_0056_0000 KQ_0058_0008 KQ_0109_0000 KQ_0100_0000,1,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,0.8333333333333334,0.0,0.9781032204627991
6548853-0-1,bm25,prompt,임종석 검거한 장소 경희대 어디인,KQ_0000_0000,KQ_0109_0000 KQ_0000_0001 KQ_0064_0012 KQ_0109_0001 KQ_0124_0053 KQ_0000_0000 KQ_0001_0000 KQ_0001_0001 KQ_0001_0002 KQ_0001_0003,6,0.0,0.0,1.0,0.16666666666666666,0.7222222222222222,1.0,-0.5555555555555556,0.0,0.0,0.9887781739234924
6548853-0-1,dense,prompt,임종석 검거한 장소 경희대 어디인,KQ_0000_0000,KQ_0000_0000 KQ_0125_0024 KQ_0054_0037 KQ_0016_0000 KQ_0087_0003 KQ_0005_0000 KQ_0087_0002 KQ_0125_0001 KQ_0005_0001 KQ_0130_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9887781739234924
6548853-0-1,hybrid,prompt,임종석 검거한 장소 경희대 어디인,KQ_0000_0000,KQ_0109_0000 KQ_0064_0012 KQ_0124_0053 KQ_0000_0001 KQ_0000_0000 KQ_0109_0001 KQ_0125_0024 KQ_0054_0037 KQ_0016_0000 KQ_0087_0003,5,0.0,1.0,1.0,0.2,0.7777777777777778,1.0,-0.4444444444444444,0.0,0.0,0.9887781739234924
6548853-0-1,bm25,structured,임종석 검거한 장소 경희대 어디인 어디,KQ_0000_0000,KQ_0109_0000 KQ_0000_0001 KQ_0064_0012 KQ_0109_0001 KQ_0124_0053 KQ_0000_0000 KQ_0001_0000 KQ_0001_0001 KQ_0001_0002 KQ_0001_0003,6,0.0,0.0,1.0,0.16666666666666666,0.7222222222222222,1.0,-0.5555555555555556,0.0,0.0,0.9846717119216919
6548853-0-1,dense,structured,임종석 검거한 장소 경희대 어디인 어디,KQ_0000_0000,KQ_0000_0000 KQ_0125_0024 KQ_0054_0037 KQ_0016_0000 KQ_0087_0003 KQ_0005_0000 KQ_0087_0002 KQ_0125_0001 KQ_0054_0004 KQ_0024_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9846717119216919
6548853-0-1,hybrid,structured,임종석 검거한 장소 경희대 어디인 어디,KQ_0000_0000,KQ_0109_0000 KQ_0064_0012 KQ_0124_0053 KQ_0000_0001 KQ_0000_0000 KQ_0109_0001 KQ_0125_0024 KQ_0054_0037 KQ_0016_0000 KQ_0087_0003,5,0.0,1.0,1.0,0.2,0.7777777777777778,1.0,-0.4444444444444444,0.0,0.0,0.9846717119216919
6548853-0-2,bm25,original,임종석이 조사를 받은 뒤 인계된 곳은 어딘가?,KQ_0000_0000,KQ_0000_0000 KQ_0054_0037 KQ_0130_0014 KQ_0054_0006 KQ_0091_0000 KQ_0124_0035 KQ_0062_0013 KQ_0072_0021 KQ_0124_0053 KQ_0072_0005,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999403953552
6548853-0-2,dense,original,임종석이 조사를 받은 뒤 인계된 곳은 어딘가?,KQ_0000_0000,KQ_0000_0000 KQ_0005_0000 KQ_0125_0024 KQ_0054_0029 KQ_0054_0004 KQ_0125_0001 KQ_0130_0006 KQ_0130_0015 KQ_0054_0036 KQ_0130_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999403953552
6548853-0-2,hybrid,original,임종석이 조사를 받은 뒤 인계된 곳은 어딘가?,KQ_0000_0000,KQ_0000_0000 KQ_0130_0014 KQ_0054_0037 KQ_0054_0006 KQ_0124_0035 KQ_0087_0003 KQ_0091_0000 KQ_0130_0004 KQ_0124_0053 KQ_0048_0000,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999403953552
6548853-0-2,bm25,keyword,임종석 조사 받은 인계된 곳은 어딘,KQ_0000_0000,KQ_0064_0000 KQ_0054_0036 KQ_0091_0000 KQ_0062_0013 KQ_0025_0002 KQ_0072_0005 KQ_0008_0003 KQ_0025_0017 KQ_0007_0005 KQ_0103_0002,,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0,0.0,0.0,0.9753971695899963
6548853-0-2,dense,keyword,임종석 조사 받은 인계된 곳은 어딘,KQ_0000_0000,KQ_0000_0000 KQ_0005_0000 KQ_0054_0004 KQ_0125_0024 KQ_0130_0015 KQ_0125_0001 KQ_0054_0029 KQ_0048_0004 KQ_0016_0000 KQ_0124_0054,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9753971695899963
6548853-0-2,hybrid,keyword,임종석 조사 받은 인계된 곳은 어딘,KQ_0000_0000,KQ_0064_0000 KQ_0000_0000 KQ_0054_0036 KQ_0025_0002 KQ_0091_0000 KQ_0121_0002 KQ_0025_0017 KQ_0025_0021 KQ_0007_0005 KQ_0025_0004,2,0.0,1.0,1.0,0.5,0.9444444444444444,1.0,-0.1111111111111111,0.0,0.0,0.9753971695899963
6548853-0-2,bm25,expanded,임종석이 조사를 받은 뒤 인계된 곳은 어딘가?,KQ_0000_0000,KQ_0000_0000 KQ_0054_0037 KQ_0130_0014 KQ_0054_0006 KQ_0091_0000 KQ_0124_0035 KQ_0062_0013 KQ_0072_0021 KQ_0124_0053 KQ_0072_0005,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999403953552
